ID,taxon,glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,classification_wals,classification_ethnologue,classification_glottolog,recently_extinct,long_extinct,year_of_extinction,code_wals,code_iso,transcribers
DIRI,DIRI,diri1259,Diri,dwa,Africa,11.17,9.33,Afro-Asiatic,AA.WEST_CHADIC,"Afro-Asiatic,Chadic,West,B,B.2","Afro-Asiatic,Chadic,WestChadic,WestChadicB,WestChadicB.2",FALSE,FALSE,,,dwa,Julia Bischoffberger
DIRIKU,DIRIKU,diri1252,Diriku,diu,Africa,-18.33,21.67,Atlantic-Congo,NC.BANTOID,"Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern,NarrowBantu,Central,K,Luyana(K.332)","Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,Central-WesternBantu,Njila,SouthernNjila,Kunene,Kwangali-Diriku",FALSE,FALSE,,,diu,Julia Bischoffberger
DIRGUJARI,DIR_GUJARI,guja1253,Gujari,gju,Eurasia,35.22,71.87,Indo-European,IE.INDIC,"Indo-European,Indo-Iranian,Indo-Aryan,IntermediateDivisions,Western,Rajasthani,Unclassified_gju","Indo-European,Indo-Iranian,Indo-Aryan,Indo-AryanCentralzone,SubcontinentalCentralIndo-Aryan,Gujarati-Rajasthani,Rajasthani,Mewati-Gojri",FALSE,FALSE,,goj,gju,
DIRPASHTO,DIR_PASHTO,nort2646,Northern Pashto,pbu,Eurasia,35.21,71.88,Indo-European,IE.IRANIAN,"Indo-European,Indo-Iranian,Iranian,Eastern,Southeastern,Pashto","Indo-European,Indo-Iranian,Iranian,EasternIranian,SoutheasternIranian,Pashto,NuclearPashto",FALSE,FALSE,,,pbu,André Müller
DISOHA,DISOHA,gumu1244,Northern Gumuz,guk,Africa,12.42,35.42,Gumuz,Gum.GUMUZ,"Nilo-Saharan,Satellite-Core,Core,Gumuzoid",Gumuz,FALSE,FALSE,,gmz,guk,André Müller
DITAMMARI,DITAMMARI,dita1238,Ditammari,tbz,Africa,10.25,1.25,Atlantic-Congo,NC.GUR,"Niger-Congo,Atlantic-Congo,Volta-Congo,North,Gur,Central,Northern,Oti-Volta,Eastern","Atlantic-Congo,Volta-Congo,NorthVolta-Congo,Gur,CentralGur,NorthernCentralGur,Bwamu-Oti-Volta,Oti-Volta,NuclearOti-Volta,Oti-VoltaOriental,Waama-Tayari-Ditammari,Tayari-Ditammari,Ditammaric",FALSE,FALSE,,,tbz,Julia Bischoffberger
DITIDAHT,DITIDAHT,diti1235,Ditidaht,dtd,North America,48.67,-124.75,Wakashan,Wak.SOUTHERN_WAKASHAN,"Wakashan,SouthernWakashan","Wakashan,SouthernWakashan,Nootkan",FALSE,FALSE,,kyq,dtd,David Beck and Julia Bischoffberger and Søren Wichmann
DIXONREEF1,DIXON_REEF_1,dixo1238,Dixon Reef,dix,Papunesia,-16.31,167.4,Austronesian,An.OCEANIC,"Austronesian,Malayo-Polynesian,Central-EasternMalayo-Polynesian,EasternMalayo-Polynesian,Oceanic,Central-EasternOceanic,RemoteOceanic,NorthandCentralVanuatu,MalekulaInterior,SmallNambas","Austronesian,NuclearAustronesian,Malayo-Polynesian,Central-EasternMalayo-Polynesian,EasternMalayo-Polynesian,Oceanic,NorthandCentralVanuatu,CentralVanuatu,Malakula,SmallNambas",FALSE,FALSE,,,dix,André Müller
DIXONREEF2,DIXON_REEF_2,dixo1238,Dixon Reef,dix,Papunesia,-16.35,167.4,Austronesian,An.OCEANIC,"Austronesian,Malayo-Polynesian,Central-EasternMalayo-Polynesian,EasternMalayo-Polynesian,Oceanic,Central-EasternOceanic,RemoteOceanic,NorthandCentralVanuatu,MalekulaInterior,SmallNambas","Austronesian,NuclearAustronesian,Malayo-Polynesian,Central-EasternMalayo-Polynesian,EasternMalayo-Polynesian,Oceanic,NorthandCentralVanuatu,CentralVanuatu,Malakula,SmallNambas",FALSE,FALSE,,,dix,André Müller
DIYARI,DIYARI,dier1241,Dieri,dif,Australia,-28,139,Pama-Nyungan,Aus.PAMA-NYUNGAN,"Australian,Pama-Nyungan,Karnic,Karna","Pama-Nyungan,Karnic,CentralKarnic,WesternCentralKarnic,Pirlatapa-Dieric,Dieric",FALSE,FALSE,,diy,dif,Søren Wichmann
DJADJALA,DJADJALA,,,dja,,-35.82,142.03,,Aus.PAMA-NYUNGAN,"Australian,Pama-Nyungan,Kulin",Pama-Nyungan,TRUE,FALSE,,,dja,Viveka Velupillai
DJAMBARRPUYNGU,DJAMBARRPUYNGU,djam1256,Djambarrpuyngu,djr,Australia,-12.17,135.5,Pama-Nyungan,Aus.PAMA-NYUNGAN,"Australian,Pama-Nyungan,Yuulngu,Dhuwal","Pama-Nyungan,Yuulngu,SouthernYolngu,Southern-EasternYolngu,Dhuwal-Dhuwala,EasternDhuwal-Dhuwala",FALSE,FALSE,,djm,djr,Julia Bischoffberger
DJAMINDJUNG,DJAMINDJUNG,djam1255,Jaminjung-Ngaliwurru,djd,Australia,-15.08,130.5,Mirndi,Aus.JAMINJUNGAN,"Australian,Djamindjungan","Mirndi,Djamindjungan",FALSE,FALSE,,jam,djd,Robert Mailhammer
DJAPU,DJAPU,,,dwu,,-12.67,136,,Aus.PAMA-NYUNGAN,"Australian,Pama-Nyungan,Yuulngu,Dhuwal","Pama-Nyungan,Yuulngu,SouthernYolngu,Southern-EasternYolngu,Dhuwal-Dhuwala,WesternDhuwal-Dhuwala",FALSE,FALSE,,djp,dwu,André Müller
DJAUAN,DJAUAN,djau1244,Jawoyn,djn,Australia,-14.08,133.25,Gunwinyguan,Aus.DJAUAN,"Australian,Gunwingguan,Djauanic","Gunwinyguan,WesternGunwinyguan",FALSE,FALSE,,,djn,Søren Wichmann
DJEEBBANA,DJEEBBANA,djee1236,Djeebbana,djj,Australia,-12.17,134.17,Maningrida,Aus.NDJEBBANA,"Australian,Gunwingguan,Burarran",Maningrida,FALSE,FALSE,,ndj,djj,
DJENNECHIINI,DJENNE_CHIINI,zarm1239,Zarma-Kaado,dje,Africa,13.83,2.17,Songhay,Son.SONGHAY,"Nilo-Saharan,Songhai,Southern","Songhay,EasternSonghay,Zarma-Kaado-Dendi",FALSE,FALSE,,zar,dje,Ann-Katrin Wett
DJINANG,DJINANG,djin1253,Djinang,dji,Australia,-12.33,134.83,Pama-Nyungan,Aus.PAMA-NYUNGAN,"Australian,Pama-Nyungan,Yuulngu,Djinang","Pama-Nyungan,Yuulngu,Western-InlandYolngu",FALSE,FALSE,,djn,dji,André Müller
DJINBA,DJINBA,djin1252,Djinba,djb,Australia,-13,135,Pama-Nyungan,Aus.PAMA-NYUNGAN,"Australian,Pama-Nyungan,Yuulngu,Djinang","Pama-Nyungan,Yuulngu,Western-InlandYolngu",FALSE,FALSE,,,djb,André Müller
DJINGILI,DJINGILI,djin1251,Jingulu,jig,Australia,-17.75,134,Mirndi,Aus.WEST_BARKLY,"Australian,WestBarkly","Mirndi,WestBarkly",FALSE,FALSE,,dji,jig,Cecil H. Brown and Søren Wichmann
DOBEL,DOBEL,dobe1238,Dobel,kvo,Papunesia,-6.25,134.67,Austronesian,An.CENTRAL_MALAYO-POLYNESIAN,"Austronesian,Malayo-Polynesian,Central-EasternMalayo-Polynesian,Aru","Austronesian,NuclearAustronesian,Malayo-Polynesian,Central-EasternMalayo-Polynesian,CentralMalayo-Polynesian,Aru,CentralAru,Dobel-Koba",FALSE,FALSE,,dob,kvo,André Müller and Mark Donohue
DOBU,DOBU,dobu1241,Dobu,dob,Papunesia,-9.75,150.75,Austronesian,An.OCEANIC,"Austronesian,Malayo-Polynesian,Central-EasternMalayo-Polynesian,EasternMalayo-Polynesian,Oceanic,WesternOceanic,PapuanTip,Nuclear,NorthPapuanMainland-D'Entrecasteaux,Dobu-Duau","Austronesian,NuclearAustronesian,Malayo-Polynesian,Central-EasternMalayo-Polynesian,EasternMalayo-Polynesian,Oceanic,WesternOceaniclinkage,PapuanTiplinkage,NuclearPapuanTiplinkage,NorthPapuanMainland-D'Entrecasteauxlinkage,Dobu-Duaulinkage",FALSE,FALSE,,,dob,André Müller
DOE,DOE,doee1238,Doe,doe,Africa,-6,38.58,Atlantic-Congo,NC.BANTOID,"Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern,NarrowBantu,Central,G,Zigula-Zaramo(G.301)","Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,EastBantu,NortheastSavannaBantu,NortheastCoastalBantu,Ruvu,EastRuvu",FALSE,FALSE,,,doe,Julia Bischoffberger
DOE2,DOE_2,doee1238,Doe,doe,Africa,-6,38.58,Atlantic-Congo,NC.BANTOID,"Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern,NarrowBantu,Central,G,Zigula-Zaramo(G.301)","Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,EastBantu,NortheastSavannaBantu,NortheastCoastalBantu,Ruvu,EastRuvu",FALSE,FALSE,,,doe,Ann-Katrin Wett
DOGON,DOGON,toro1252,Toro So Dogon,dts,Africa,14.5,-3.33,Dogon,Dog.DOGON,"Niger-Congo,Atlantic-Congo,Volta-Congo,Dogon","Dogon,EscarpmentDogon",FALSE,FALSE,,dts,dts,Viveka Velupillai
DOGONBONDUMDOM,DOGON_BONDUM_DOM,bond1248,Najamba-Kindige,dbu,Africa,14.9,-3.4,Dogon,Dog.DOGON,"Niger-Congo,Atlantic-Congo,Volta-Congo,Dogon","Dogon,NorthPlateauDogon,Yanda-Bondum-Tebul",FALSE,FALSE,,,dbu,Julia Bischoffberger
DOGONDOGULDOM,DOGON_DOGUL_DOM,dogu1235,Dogul Dom Dogon,dbg,Africa,14.5,-3.6,Dogon,Dog.DOGON,"Niger-Congo,Atlantic-Congo,Volta-Congo,Dogon","Dogon,NorthPlateauDogon",FALSE,FALSE,,,dbg,Julia Bischoffberger
DOGONDONNOSO,DOGON_DONNO_SO,donn1239,Donno So Dogon,dds,Africa,14.3,-3.5,Dogon,Dog.DOGON,"Niger-Congo,Atlantic-Congo,Volta-Congo,Dogon","Dogon,EscarpmentDogon",FALSE,FALSE,,dds,dds,Julia Bischoffberger
DOGONJAMSAY,DOGON_JAMSAY,jams1239,Jamsay Dogon,djm,Africa,14.4,-2.4,Dogon,Dog.DOGON,"Niger-Congo,Atlantic-Congo,Volta-Congo,Dogon","Dogon,PlainsDogon",FALSE,FALSE,,jms,djm,Viveka Velupillai
DOGONTENEKAN,DOGON_TENE_KAN,tene1248,Tengou-Togo Dogon,dtk,Africa,14.1,-3.2,Dogon,Dog.DOGON,"Niger-Congo,Atlantic-Congo,Volta-Congo,Dogon","Dogon,PlainsDogon,WesternPlainsDogon",FALSE,FALSE,,,dtk,Julia Bischoffberger
DOGONTOMOKAN,DOGON_TOMO_KAN,tomo1243,Tomo Kan Dogon,dtm,Africa,13.9,-3.8,Dogon,Dog.DOGON,"Niger-Congo,Atlantic-Congo,Volta-Congo,Dogon","Dogon,PlainsDogon,WesternPlainsDogon",FALSE,FALSE,,,dtm,Julia Bischoffberger
DOGONTOROTEGUIWRA,DOGON_TORO_TEGU_IWRA,toro1253,Toro Tegu Dogon,dtt,Africa,15,-2.1,Dogon,Dog.DOGON,"Niger-Congo,Atlantic-Congo,Volta-Congo,Dogon","Dogon,PlainsDogon",FALSE,FALSE,,,dtt,Julia Bischoffberger
DOGONTOROTEGUNEMGUENE,DOGON_TORO_TEGU_NEMGUENE,toro1253,Toro Tegu Dogon,dtt,Africa,15,-2.4,Dogon,Dog.DOGON,"Niger-Congo,Atlantic-Congo,Volta-Congo,Dogon","Dogon,PlainsDogon",FALSE,FALSE,,,dtt,Julia Bischoffberger
DOGONTOROTEGUPIRINGUA,DOGON_TORO_TEGU_PIRINGUA,toro1253,Toro Tegu Dogon,dtt,Africa,15,-2.1,Dogon,Dog.DOGON,"Niger-Congo,Atlantic-Congo,Volta-Congo,Dogon","Dogon,PlainsDogon",FALSE,FALSE,,,dtt,Julia Bischoffberger
DOGRIB,DOGRIB,dogr1252,Dogrib,dgr,North America,63,-115,Athabaskan-Eyak-Tlingit,NDe.ATHAPASKAN,"Eyak-Athabaskan,Athabaskan,NorthernAthabaskan","Athapaskan-Eyak-Tlingit,Athapaskan-Eyak,Athapaskan,NorthernAthapaskan,Hare-Slavey",FALSE,FALSE,,,dgr,Julia Bischoffberger
DOKO,DOKO,ngom1268,Ngombe (Democratic Republic of Congo),ngc,Africa,3,23.08,Atlantic-Congo,NC.BANTOID,"Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern,NarrowBantu,Northwest,C,Ngombe(C.41)","Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,Central-WesternBantu,GreaterBangi-Ntomba,Ngiri,NgiriTerrien,Ngombe-Genja",FALSE,FALSE,,dok,ngc,André Müller and Ann-Katrin Wett
DOLAKHANEWAR,DOLAKHA_NEWAR,newa1246,Kathmandu Valley Newari,new,Eurasia,27.67,85.5,Sino-Tibetan,ST.MAHAKIRANTI,"Sino-Tibetan,Tibeto-Burman,WesternTibeto-Burman,Himalayan,CentralHimalayan,Newar","Sino-Tibetan,Himalayish,Mahakiranti,Newaric,Newar",FALSE,FALSE,,new,new,Ann-Katrin Wett and Matthew S. Dryer
DOLENJSKIROMANI,DOLENJSKI_ROMANI,sint1235,Sinte Romani,rmo,Eurasia,47.5,16.5,Indo-European,IE.INDIC,"Indo-European,Indo-Iranian,Indo-Aryan,IntermediateDivisions,Western,Romani,Northern","Indo-European,Indo-Iranian,Indo-Aryan,Indo-AryanCentralzone,Romani,CentralRomani,NorthwesternRomani",FALSE,FALSE,,rbg,rmo,Viveka Velupillai
DOLGAN,DOLGAN,dolg1241,Dolgan,dlg,Eurasia,71.25,98,Turkic,Alt.TURKIC,"Turkic,Northern","Turkic,CommonTurkic,NorthSiberianTurkic",FALSE,FALSE,,dol,dlg,Oleg Belyaev
DOM,DOM,domm1246,Dom,doa,Papunesia,-6,144.92,Nuclear Trans New Guinea,TNG.CHIMBU,"Trans-NewGuinea,Chimbu-Wahgi,Chimbu","Nuclear_Trans_New_Guinea,Chimbu-Wahgi,Simbu,NuclearSimbu,Kuman-Dom-Gunaa",FALSE,FALSE,,,doa,Julia Bischoffberger
DOMAAKI,DOMAAKI,doma1260,Domaaki,dmk,Eurasia,36.17,74,Indo-European,IE.INDIC,"Indo-European,Indo-Iranian,Indo-Aryan,IntermediateDivisions,Western","Indo-European,Indo-Iranian,Indo-Aryan,Indo-AryanCentralzone",FALSE,FALSE,,dmk,dmk,Sebastian Sauppe
DOMARI,DOMARI,doma1258,Domari,rmt,Eurasia,31.78,35.22,Indo-European,IE.INDIC,"Indo-European,Indo-Iranian,Indo-Aryan,IntermediateDivisions,Western,Dom","Indo-European,Indo-Iranian,Indo-Aryan,Indo-AryanCentralzone",FALSE,FALSE,,dom,rmt,André Müller
DOMPO,DOMPO,domp1238,Dompo,doy,Africa,8.15,-2.37,Atlantic-Congo,NC.KWA,"Niger-Congo,Atlantic-Congo,Volta-Congo,Kwa,Nyo,Potou-Tano,Tano,Guang,NorthGuang","Atlantic-Congo,Volta-Congo,KwaVolta-Congo,Nyo,Potou-Tano,Tano,Guang,NorthGuang,Gonja-Dompo",FALSE,FALSE,,,doy,Viveka Velupillai
DOMU,DOMU,domu1245,Domu,dof,Papunesia,-10.17,148.5,Mailuan,TNG.MAILUAN,"Trans-NewGuinea,SoutheastPapuan,Mailuan",Mailuan,FALSE,FALSE,,,dof,Søren Wichmann
DOMU2,DOMU_2,domu1245,Domu,dof,Papunesia,-10.17,148.5,Mailuan,TNG.MAILUAN,"Trans-NewGuinea,SoutheastPapuan,Mailuan",Mailuan,FALSE,FALSE,,,dof,Julia Bischoffberger
DONDO,DONDO,dond1249,Dondo,dok,Papunesia,0.83,120.67,Austronesian,An.CELEBIC,"Austronesian,Malayo-Polynesian,Celebic,Tomini-Tolitoli,Tomini,Northern","Austronesian,NuclearAustronesian,Malayo-Polynesian,Celebic,Tomini-Tolitoli,Tominic,NorthernTomini",FALSE,FALSE,,,dok,Zarina Molochieva
DONG,DONG,dong1293,Dong,doh,Africa,8.5,12,Atlantic-Congo,NC.BANTOID,"Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Northern,Dakoid","Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,NorthernBantoid,Dakoid,Tiba-Dong",FALSE,FALSE,,,doh,André Müller
DONGMENMULAM,DONGMEN_MULAM,mula1253,Mulam,mlm,Eurasia,25,108,Tai-Kadai,TK.KAM-TAI,"Tai-Kadai,Kam-Tai,Kam-Sui","Tai-Kadai,Kam-Tai,Kam-Sui,Mulam-Kam",FALSE,FALSE,,mul,mlm,Sebastian Sauppe
DONGO,DONGO,dong1290,Dongo,doo,Africa,3,30,Atlantic-Congo,NC.UBANGI,"Niger-Congo,Atlantic-Congo,Volta-Congo,North,Adamawa-Ubangi,Ubangi,Sere-Ngbaka-Mba,Ngbaka-Mba,Mba","Atlantic-Congo,Volta-Congo,NorthVolta-Congo,Adamawa-Ubangi,Ubangi,Sere-Ngbaka-Mba,Ngbaka-Mba,Mbaic,Ndunga-Mba-Dongo",FALSE,FALSE,,dgo,doo,Viveka Velupillai
DONGOTONO,DONGOTONO,dong1294,Dongotono,ddd,Africa,4.67,33.25,Nilotic,ESu.NILOTIC,"Nilo-Saharan,Satellite-Core,Core,EasternSudanic,Southern(nlanguages),Nilotic,Eastern,Lotuxo-Teso,Lotuxo-Maa,Lotuxo","Nilotic,EasternNilotic,Teso-Lotuxo-Maa,Lotuxo-Maa,Lotuxo",FALSE,FALSE,,,ddd,Viveka Velupillai
DONGSHANBIAOMON,DONGSHAN_BIAO_MON,biao1256,Biao Mon,bmt,Eurasia,24.12,110.31,Hmong-Mien,HM.HMONG-MIEN,"Hmong-Mien,Mienic,Mian-Jin","Hmong-Mien,Mienic,Mien-Mun",FALSE,FALSE,,,bmt,Sebastian Sauppe
DONGSHANCHINESE,DONGSHAN_CHINESE,minn1241,Min Nan Chinese,nan,Eurasia,23.7,117.42,Sino-Tibetan,ST.CHINESE,"Sino-Tibetan,Chinese","Sino-Tibetan,Sinitic,SouthChinese,Min",FALSE,FALSE,,hok,nan,André Müller
DONGYINGLINGAO,DONGYING_LINGAO,ling1262,Western Ong-Be,onb,Eurasia,19.91,109.68,Tai-Kadai,TK.KAM-TAI,"Tai-Kadai,Kam-Tai,Lakkja","Tai-Kadai,Kam-Tai,Be-Tai",FALSE,FALSE,,,onb,André Müller
DOOHWAAYAAYO,DOOHWAAYAAYO,doya1240,Doyayo,dow,Africa,8.67,13.08,Atlantic-Congo,NC.ADAMAWA,"Niger-Congo,Atlantic-Congo,Volta-Congo,North,Adamawa-Ubangi,Adamawa,Leko-Nimbari,Duru,Voko-Dowayo,Vere-Dowayo,Dowayo","Atlantic-Congo,Volta-Congo,NorthVolta-Congo,Adamawa-Ubangi,Adamawa,SambaDuru-MumuyeYendang,SambaDuru,Voko-Dowayo,Vere-Dowayo",FALSE,FALSE,,doy,dow,Viveka Velupillai
DORASQUE,DORASQUE,,,qbn,,7,-83,,Chi.DORASKE,Chibchan,"Chibchan,CoreChibchan,IsthmicChibchan,Doracic",TRUE,FALSE,,,qbn,Cecil H. Brown
DORIO,DORIO,dori1246,Dori'o,dor,Papunesia,-9,160.83,Austronesian,An.OCEANIC,"Austronesian,Malayo-Polynesian,Central-EasternMalayo-Polynesian,EasternMalayo-Polynesian,Oceanic,Central-EasternOceanic,SoutheastSolomonic,Malaita-SanCristobal,Malaita,Southern","Austronesian,NuclearAustronesian,Malayo-Polynesian,Central-EasternMalayo-Polynesian,EasternMalayo-Polynesian,Oceanic,SoutheastSolomonic,Longgu-Malaita-Makira,Malaita-Makira,Malaita,SouthernMalaita",FALSE,FALSE,,,dor,Søren Wichmann
DORLIGONDI,DORLI_GONDI,koya1251,Koya,kff,Eurasia,17.5,81.33,Dravidian,Dra.SOUTH-CENTRAL_DRAVIDIAN,"Dravidian,South-Central,Gondi-Kui,Konda-Kui,Manda-Kui,Kui-Kuvi","Dravidian,SouthDravidian,SouthDravidianII,Gondi,SoutheastGondi,HillMaria-Koya",FALSE,FALSE,,koy,kff,Ann-Katrin Wett
DOROMU,DOROMU,doro1266,Doromu-Koki,kqc,Papunesia,-9.5,148,Manubaran,TNG.MANUBARAN,"Trans-NewGuinea,SoutheastPapuan,Manubaran",Manubaran,FALSE,FALSE,,,kqc,Søren Wichmann
DOROMUARAMAIKA,DOROMU_ARAMAIKA,doro1266,Doromu-Koki,kqc,Papunesia,-9.5,148,Manubaran,TNG.MANUBARAN,"Trans-NewGuinea,SoutheastPapuan,Manubaran",Manubaran,FALSE,FALSE,,,kqc,Søren Wichmann
DOROMUBAREIKA,DOROMU_BAREIKA,doro1266,Doromu-Koki,kqc,Papunesia,-9.5,148,Manubaran,TNG.MANUBARAN,"Trans-NewGuinea,SoutheastPapuan,Manubaran",Manubaran,FALSE,FALSE,,,kqc,Søren Wichmann
DOROMULOFAIKA,DOROMU_LOFAIKA,doro1266,Doromu-Koki,kqc,Papunesia,-9.5,148,Manubaran,TNG.MANUBARAN,"Trans-NewGuinea,SoutheastPapuan,Manubaran",Manubaran,FALSE,FALSE,,,kqc,Søren Wichmann
DORZE,DORZE,dorz1235,Dorze,doz,Africa,6.25,37.58,Ta-Ne-Omotic,AA.NORTH_OMOTIC,"Afro-Asiatic,Omotic,North,Gonga-Gimojan,Gimojan,Ometo-Gimira,Ometo,Central","Ta-Ne-Omotic,Ometo,North-WestOmeto,CentralOmeto",FALSE,FALSE,,,doz,André Müller
DOSO,DOSO,doso1239,Doso,dol,Papunesia,-7.58,142.58,Doso-Turumsa,Dos.DOSO,Unclassified_dol,Doso-Turumsa,FALSE,FALSE,,,dol,Mark Donohue and Oleg Belyaev
DOTHRAKI,DOTHRAKI,,,,,33.77,-118.2,,Oth.ARTIFICIAL,,ArtificialLanguage,FALSE,FALSE,,,,André Müller
DOUGHAIKHORASANI,DOUGHAI_KHORASANI,khor1269,Khorasan Turkic,kmz,Eurasia,36.92,58.58,Turkic,Alt.TURKIC,"Turkic,Southern,Turkish","Turkic,CommonTurkic,Oghuz-Kipchak-Uyghur,Oghuz,EastOghuz",FALSE,FALSE,,tex,kmz,André Müller
DOURA,DOURA,tour1243,Toura (Papua New Guinea),don,Papunesia,-9.08,147,Austronesian,An.OCEANIC,"Austronesian,Malayo-Polynesian,Central-EasternMalayo-Polynesian,EasternMalayo-Polynesian,Oceanic,WesternOceanic,PapuanTip,Peripheral,CentralPapuan,WestCentralPapuan,Nuclear","Austronesian,NuclearAustronesian,Malayo-Polynesian,Central-EasternMalayo-Polynesian,EasternMalayo-Polynesian,Oceanic,WesternOceaniclinkage,PapuanTiplinkage,PeripheralPapuanTiplinkage,CentralPapuanOceanic,WestCentralPapuanlinkage,NuclearWestCentralPapuanlinkage",FALSE,FALSE,,,don,André Müller
DOUTAI,DOUTAI,dout1240,Doutai,tds,Papunesia,-3.33,138.17,Lakes Plain,LP.LAKES_PLAIN,"LakesPlain,Tariku,East","Lakes_Plain,Tariku,EastTariku,Doutai-Kai-Waritai",FALSE,FALSE,,dou,tds,Mark Donohue and Viveka Velupillai
DOUYUBANGNI,DOUYU_BANGNI,nyis1236,Nyishi-Hill Miri,njz,Eurasia,28.35,92.97,Sino-Tibetan,ST.TANI,"Sino-Tibetan,Tibeto-Burman,CentralTibeto-Burman,Tani","Sino-Tibetan,Macro-Tani,Tani,Pre-WesternTani,WesternTani,Subansiri",FALSE,FALSE,,,njz,André Müller
DRUNG,DRUNG,drun1238,Drung,duu,Eurasia,28,98.33,Sino-Tibetan,ST.NUNGISH,"Sino-Tibetan,Tibeto-Burman,CentralTibeto-Burman,Nungish","Sino-Tibetan,Nungish,Gunong",FALSE,FALSE,,dul,duu,Johann-Mattis List
DUALA,DUALA,dual1243,Duala,dua,Africa,4,9.42,Atlantic-Congo,NC.BANTOID,"Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern,NarrowBantu,Northwest,A,Duala(A.24)","Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,BantuA-B10-B20-B30,Sawabantu,Dualaic,Duala-Malimba",FALSE,FALSE,,dua,dua,Zarina Molochieva
DUBU,DUBU,dubu1240,Dubu,dmu,Papunesia,-3.58,140.83,Pauwasi,Pau.PAUWASI,"Pauwasi,Western","Pauwasi,WesternPauwasi",FALSE,FALSE,,,dmu,Ann-Katrin Wett
DUDUELA,DUDUELA,dudu1240,Duduela,duk,Papunesia,-5.41,145.65,Nuclear Trans New Guinea,TNG.MADANG,"Trans-NewGuinea,Madang,RaiCoast,Nuru","Nuclear_Trans_New_Guinea,Madang,RaiCoast,Nuru",FALSE,FALSE,,,duk,Cecil H. Brown
DUGURI,DUGURI,dugu1249,Duguri,dbm,Africa,9.58,9.77,Atlantic-Congo,NC.BANTOID,"Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern,Jarawan,Nigerian","Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,Jarawan,NigerianJarawan,Jarawaic",FALSE,FALSE,,,dbm,Viveka Velupillai
DUHTUTSOU,DUHTU_TSOU,tsou1248,Tsou,tsu,Papunesia,23.5,120.75,Austronesian,An.TSOU,"Austronesian,Tsouic",Austronesian,FALSE,FALSE,,tso,tsu,Sebastian Sauppe
DUHWA,DUHWA,duhw1236,Duhwa,kbz,Africa,9.33,8.75,Afro-Asiatic,AA.WEST_CHADIC,"Afro-Asiatic,Chadic,West,A,A.4,RonProper","Afro-Asiatic,Chadic,WestChadic,WestChadicA,WestChadicA.4,Ronic,Mundat-Karfa",FALSE,FALSE,,,kbz,Julia Bischoffberger
DUKA,DUKA,huns1239,Hun-Saare,dud,Africa,11.17,5.08,Atlantic-Congo,NC.KAINJI,"Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Kainji,Western,Duka","Atlantic-Congo,Volta-Congo,Benue-Congo,Kainji,CentralKainji,NorthwesternKainji,Duka",FALSE,FALSE,,duk,dud,Viveka Velupillai
DUKE,DUKE,duke1237,Duke,nke,Papunesia,-8,157,Austronesian,An.OCEANIC,"Austronesian,Malayo-Polynesian,Central-EasternMalayo-Polynesian,EasternMalayo-Polynesian,Oceanic,WesternOceanic,MesoMelanesian,NewIreland,SouthNewIreland-NorthwestSolomonic,NewGeorgia,West","Austronesian,NuclearAustronesian,Malayo-Polynesian,Central-EasternMalayo-Polynesian,EasternMalayo-Polynesian,Oceanic,WesternOceaniclinkage,MesoMelanesianlinkage,NewIreland-NorthwestSolomoniclinkage,StGeorgelinkage,NorthwestSolomonic,NewGeorgia,WestNewGeorgia",FALSE,FALSE,,,nke,Sebastian Sauppe
DUMA,DUMA,duma1253,Duma,dma,Africa,-0.95,13,Atlantic-Congo,NC.BANTOID,"Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern,NarrowBantu,Northwest,B,Nzebi(B.51)","Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,Central-WesternBantu,Njebe-Mbete-Teke,Sigu-Njebi,Njebi(B.50),NdjaviB",FALSE,FALSE,,dma,dma,Ann-Katrin Wett
